;-9.00_1.00_1.00_NH3+_C:;-8.00_0.00_1.00_NH3+_C:;2.00_0.00_-8.00_NH3+_C:;3.00_1.00_-6.00_NH3+_C:;3.00_2.00_-6.00_NH3+_C:;-10.00_0.00_-1.00_NH3+_LJ:;-10.00_1.00_-1.00_NH3+_LJ:;-9.00_1.00_3.00_NH3+_LJ:;-2.00_4.00_-5.00_NH3+_LJ:;-1.00_7.00_2.00_NH3+_LJ:;3.00_1.00_-3.00_NH3+_LJ:;3.00_11.00_5.00_NH3+_LJ:;6.00_3.00_-6.00_NH3+_LJ:
Mol01;25.79477241444806;-69.8531900774332;-6.5175537479855645;1.1166730018149646;9.76685349470875;139.52593823249475;138.40463376766036;2.828145794957354;-1.2340676873199303;-2.071436708100832;142.6331018048995;-0.0582679042263877;-0.3101186455553253
Mol07;-1.2747522723403175;-1.3961495951003862;-27.165820779556388;-35.451528873889615;-17.892864732094495;-0.0084272608812691;-0.0086596023645001;-0.0092901213402791;-1.3128635867684648;-0.2067461606445758;158.69453367763919;-0.0407144975363713;5.661116080711741
Mol08;3.57477859261577;5.271078320950905;-22.101894922717783;-56.75512850271406;-50.86957500048707;-0.1075888811923973;-0.0988524695850413;-0.0562731754783113;-2.389821096981882;-0.0941842553837614;142.33128328320498;-0.0091015676861797;-0.3585152087046407
Mol09;1.5605345311641283;1.58977647288501;22.64008128613093;-109.89849013515467;-243.31115736029025;-0.0103478092800241;-0.0110115516434719;-0.0123044336225663;-1.4962511288093814;2.946313710805244;147.87340047480177;-0.0782649118881833;1.322890140789234
Mol10;16.892558735175637;20.09637782446426;2.710766064824;6.740343232830041;11.880543272329524;-0.0368412531094397;-0.0393575539380301;-0.0622121138073858;-1.0581137880988571;-2.012480836986315;136.66036713509607;-0.2086884695460343;-0.7398538572050664
Mol11;-195.69521087660027;81.23908356649277;-1.4890278130121004;8.795295975337746;17.404397492408968;138.44351956229883;134.07190583498314;156.1167785321694;-1.12089723244622;-2.004382159258198;142.86339282570972;-0.0576980548755303;-0.3188824259542343
Mol12;-80.08153713205004;-298.1085664460754;5.175792116578094;15.376676837706215;24.18733709025277;-1.255876457586257;-0.996487075325931;5.348601511267831;-1.1745531968956262;-1.6342039956445893;142.93425997865702;-0.05296966086421;-0.362181575887475
Mol13;-66.96694269975269;-245.8270735773025;3.4201646842672933;12.013701432776791;19.84292745908629;-1.3553738538921434;-0.9723974309444484;-1.4512275669338437;-1.0996551988244816;-2.0929042966257927;142.8710425166687;-0.0557427547465603;-0.3096203269709129
Mol14;1.3709229068351227;26.21218867806387;1.2840595391412908;9.45169815078251;17.98885349750027;129.44394065653896;100.00318196577368;-2.678116514536585;-1.1814890983973805;-2.02628376907371;142.67092573852824;-0.0571281828095809;-0.2982458264333811
Mol15;96.51977067132022;128.71373308876682;-3.304144859599069;5.082920009594208;13.72729658609506;7.560778062659005;-1.800161891534455;58.58327419821821;-1.1281118148185905;-1.9802919057690656;142.7880153314036;-0.0576723659911067;-0.3224675665674346
Mol16;12.853725173536942;15.891038730980632;-0.5120097994157167;2.2887557013048507;7.302186605800344;-0.0381504143988261;-0.0407226837338895;-0.0643676076108309;-1.0570920821406888;-3.2532893164730496;136.6232275187689;1.7815373167701978;-0.7435475870635347
Mol17;1.6782366591331304;-1.0426789783442008;-27.154062579452305;-47.48167637901832;-83.14878953287169;-0.1138077163578311;-0.1144682903525182;-0.1406921902163561;-4.475484246562604;-0.7113181506969376;143.17346593470387;-0.0320532548129626;-1.6722694828963591
Mol18;-100.8854864685325;-457.8787034753036;-2.5418544723349754;4.7320606648533;12.838587631742966;1.774392829870112;-1.810377642654686;-2.668611348066839;-1.1300447819085826;-2.007822667198471;142.7203729163883;-0.0567956040779146;-0.3199655296933796
Mol19;130.51136340049916;132.58510614659747;-1.547193788600083;6.524890970095466;15.183749641982068;-0.0933071620153098;-1.875608055696945;-2.1795640415667563;-1.1615203309348263;-1.9346139346382445;142.84480569201892;-0.0574231708241928;-0.3312969688578373
Mol20;120.79665117439458;128.71426790034158;-3.51007271646259;7.471328345156291;18.81111927058922;65.06023837008858;133.18863987278598;144.36132523539638;-1.5518720434423938;-1.2813091416438926;143.422298813641;-0.0424522459191576;-0.5009933159538623
Mol21;130.87756122946604;134.67821942578118;-6.891410978012619;0.4455631433246267;9.407971842059451;-2.0120641056424686;-2.1198928090804454;-1.046242440163574;-1.1597289340033614;-1.8752367869860842;142.77389111759285;-0.0580432999333435;-0.3375940074027668
Mol22;-115.72405274347184;-325.47194106178483;-0.1987939432615593;7.520264268687029;15.212372226648172;-1.1633742393259077;-1.4039465577809538;49.03122200028853;-1.7297064470023926;5.838953874391195;142.6310464638463;-0.0474589188545399;-0.4289531024462686
Mol23;-112.2678690522603;-235.35518004190348;0.1569728663392668;7.348026200269858;14.541765034568092;-1.3213941544068086;-1.3684958066767856;111.4607575913814;-1.6695538224780957;-1.6394720753860856;142.73824412693693;-0.0261468509944441;-0.294661291972123
Mol24;21.567867008285376;38.71615498539151;7.832579574984098;11.938443415026704;13.597904837705318;-0.8762144663375302;-0.5141015393991607;-1.3081189461464189;-1.229803734646879;-0.1234459476493623;141.93310340428286;-0.0098971509938284;-0.2961180307819697
Mol25;54.60430733610284;-162.14453760001865;0.8406896255858416;8.252212922318437;16.013301834703103;23.43708205604945;34.63937564912742;6.063220938876617;-1.799006999595368;132.8746402430777;142.60773216585787;-0.055982841455322;-0.3445735231221267
Mol26;33.48972278986457;-77.22615361249537;-0.5849096920892696;5.499216925108456;14.791066853649635;131.4013581974614;71.43339297339148;-2.6774702021270262;-1.5266260916844556;-1.6033634999552824;142.77666878959835;-0.0383992143578447;-0.3378805253073418
Mol27;35.31587185863746;-92.17724539188984;-2.8290741695325905;1.6093114993808937;10.071962451675365;129.21060373185708;43.3488300180026;-2.482925104980968;-1.2093175482070642;27.93889192996476;142.92612386462716;-0.0524262655790115;-0.2775429023645939
Mol28;2.189950914748489;0.1192136946092751;0.6753359621109442;6.838304013156336;11.942087893345128;-0.1084439054708002;-0.1126055179548103;-0.1467003818265121;-1.1405728797017425;-2.042627709500941;136.63930953328438;-0.6644413027942789;-0.81844070439565
Mol29;25.54790929971968;-195.0373418145128;2.960475051175002;13.58856959607089;21.1929230038312;23.7254567465474;-2.399813961099592;132.56806991942582;-1.2235974462629864;-2.777277005426055;142.87886431054923;-0.1189725254907323;-0.3611768626189169
Mol31;-0.3990265758788085;-0.1243765023888414;-65.64402162695472;89.50767444431615;45.47164043733966;-0.0112090577880689;-0.0117411651347648;-0.0115033428518367;27.36339414283409;-0.4377233743410286;145.07592420665864;-0.4531721519265627;-4.10924046322207
Mol32;-0.312364769831748;-0.0572797911907558;-60.51825807960005;23.313817313068785;15.178272274121758;-0.0116783376037734;-0.012162825644473201;-0.0117171872635015;12.613277494279895;-0.4412040121437026;144.99982323850782;-0.4657550759315489;-4.21595202849984
Mol33;-1.0770562283841387;-0.767142359235248;51.67415340350826;17.175315726607476;-8.710925769067469;-0.011855564307989;-0.0123934021794732;-0.011914759749035;38.7642342594044;-0.4659024120585341;145.15654617906347;-0.5200388987535678;-4.081083477222597
Mol34;4.744068577135146;3.658733006442136;5.190749842916935;12.481542796183527;17.66619056952783;-0.1080329291951842;-0.113022547490901;-0.1495447654783514;-1.1583707667255694;-2.0735388784967914;136.66042914340653;-0.694082332679177;-0.8172942828606258
Mol35;-0.4982960421512317;-3.1108494152430985;-7.47949787651811;-5.63819664431216;-2.5551121782467874;-0.1144346753526461;-0.116601563415719;-0.1459466493272606;-1.1467395741489466;-2.275781239543846;136.71083818007904;-0.9356847509281402;-0.7927067704453
Mol36;1.2899397978289002;-1.108597264287425;-0.913655886349531;3.681917448413756;8.747327715682026;-0.1154136330779648;-0.1189143625003861;-0.1439601338352268;-1.193955541245057;-2.101686262079395;136.6927633085983;-0.3831969777062123;-0.7566382370782653
Mol37;5.040936635143147;5.328636373277522;-60.0524243282992;73.04931075912515;130.0949878017103;-0.0119022981687426;-0.0126644605844886;-0.0130714651238919;-1.7789016358721932;4.7528666973548495;148.1122585763546;-0.0841295801150083;0.242971923360736
Mol38;70.56389957627557;128.2311834324401;10.362853682279733;24.51821885583971;37.59754710985632;-2.230575058226392;-1.655033921673101;1.069853575020855;-2.359042453900396;2.69637905422717;143.92567058364912;-0.0584093769881191;-1.0075578246280157
Mol39;4.064233132223219;2.170822334410293;-0.6784530188329008;4.293656493307637;8.809355965263514;-0.1184928757452378;-0.1226087810753021;-0.1455105569353377;-1.2166352319518254;-2.0449231787127267;136.72286000053577;-0.3600081106277297;-0.772445361628144
Mol40;-2.960390583230861;-5.767094882349507;-3.700271987619676;0.9811378534600514;6.075727578935435;-0.0709771789275403;-0.0682476129873912;-0.10528206275755;-0.99947118476899;-2.0235210203726828;136.39139498422276;-0.369053977236679;-0.7273946967808991
Mol41;23.505995454079013;25.75120813441244;-15.280493719480816;-6.953362097621403;4.9079481593992025;-0.1148008386402344;-0.1307617628414096;-0.0538582248189056;129.43886345938162;158.78761462653915;136.43166627029072;-0.19913825696085144;-0.6497974699463396
