;-6.00_-8.00_10.00_NH3+_C:;-6.00_-7.00_10.00_NH3+_C:;-6.00_-1.00_1.00_NH3+_C:;-2.00_-1.00_-1.00_NH3+_C:;-2.00_2.00_5.00_NH3+_C:;-6.00_-10.00_13.00_NH3+_LJ:;-6.00_5.00_4.00_NH3+_LJ:;-5.00_-11.00_10.00_NH3+_LJ:;-5.00_-6.00_12.00_NH3+_LJ:;-4.00_-2.00_8.00_NH3+_LJ:;-3.00_-3.00_8.00_NH3+_LJ:;-3.00_5.00_9.00_NH3+_LJ:
Mol01;-61.85513796449418;-13.581390151525568;48.808735524284415;18.81928808193946;-13.857731531641663;-1.3652083425768315;-0.6059175159923703;127.80297212373324;-2.2191599968309994;-3.3626542626783644;-4.212377647464769;-0.211988988102292
Mol09;1.4170102781702525;1.6228633742358376;37.48752703532668;40.05480998108277;-1.1887589401190797;-0.0037918781767999;6.864021761960772;-0.0074451293841442;-0.0139502972544655;-0.3973777829829448;-0.2856563736214363;-0.2471047107934953
Mol10;16.689473869682384;18.99346730853612;53.48419508270722;24.26011410979121;14.854096870020388;-0.0109109142566098;128.02064524179707;-0.0232466228664697;-0.074269778328637;3.886442044032075;126.76575463517179;-0.2824853293099935
Mol11;-40.54475243888728;-318.84595800104785;61.30682370073793;30.64821613152658;8.42339812769698;-1.283186084901433;-0.6689800563681699;-2.247920193100728;128.3851399934835;5.356680468283256;35.64084738765821;-0.2020878954447974
Mol12;-123.64180497018825;-144.0482410319168;63.29574094244444;33.99200207684868;65.68712721471303;-0.3712239766772638;-0.636012298005366;-1.4789333766120976;-0.823495804934404;2.2501352633053853;44.389606560201194;-0.1658948970095635
Mol13;-129.17346375732913;-111.76202057854948;61.680105582383206;32.329292118661684;7.315063763391766;-0.4133857318030371;-0.6070884903987165;-2.272173553954356;-2.2141852714433794;-1.0950233740599014;15.853149191343126;-0.2040164761027114
Mol14;-90.1710869831065;23.88660499219482;60.98291191790193;29.285632598994205;-6.047420293861528;-0.8186288945005358;-0.5025103607203101;17.929291520972576;-2.1982460843795173;-3.256829827030145;-5.150579966764103;-0.2108638784357318
Mol16;12.906171503316845;14.758441463110962;40.70693966963356;14.690435006760952;-10.759795675499426;-0.0113965761233916;17.718850150993653;-0.0241583256889924;-0.0767344218945013;2.5261285870345223;126.76576956128518;1.511496994616521
Mol17;-1.1275088186543911;1.0443565999181796;-59.54139504737242;-14.548946532231591;36.15121629739208;-0.0236220493139638;-2.067174153511452;-0.0709509518159623;-0.1524800667483338;-2.9637050893977546;-0.979672583270385;-0.0775003396545847
Mol18;-171.74308562938438;-205.35046913451103;53.01461040887604;22.2145567195901;-7.289231548443226;-1.133258307217325;-0.6939576683439372;128.0495138511865;-2.3607937855750736;6.3947928844670825;49.22393908393439;-0.1987517985369303
Mol20;125.91646319691272;-23.113092218670143;51.05518425325248;15.976387967418212;126.86392855653851;-1.3445094784099938;-0.8001570876826809;0.4153619865861717;127.97222087447888;4.442710733515199;9.554786944150065;-0.1222468589896374
Mol21;127.24728170034571;127.39525519635856;50.46480510842123;17.161094785547686;-10.993775238882613;-0.4425316748683801;-0.7639260919159622;1.6587611733264715;-2.192131512456565;37.35201612457484;99.82138940547225;-0.1921066508317643
Mol22;-60.19541006878004;-281.6241916233759;54.64494412429249;31.71052696337164;32.710057255637125;-0.9565679452516423;-1.366519393315535;-2.186036681692713;2.338870025512671;-4.583636933053998;23.502732805351087;-0.1800589012578047
Mol23;-52.49755223560204;-268.9338881816272;55.26963334603165;32.53437247749145;37.289605855142405;-0.928993588889592;-0.4528209906247318;-2.1348225569539823;8.550301501979506;-5.346226555443792;62.84580277979786;-0.0989170515384634
Mol24;37.88785063713724;27.586466734702555;24.56355429286908;25.547909329420666;-2.975535632745435;-0.4636079445175465;-0.0411916006244529;1.3425981075566151;-0.9615222326213532;-1.2891677541745723;-2.181979287388912;-0.0244872534255633
Mol26;43.486855819605005;9.798858229295844;61.23736895169017;18.541809677702297;43.87943065947093;-0.9039046393214856;-0.5851300608023334;126.91382504019239;-2.202414363483278;-3.4473993112487817;-4.75581406713661;-0.1222596279390836
Mol27;51.613775704495296;13.316383062152347;52.49308623296724;14.54813536058214;86.8972766717267;-0.9564550932165169;-0.379727834445082;50.7128157242689;-2.542169869896535;-4.602299303263568;-3.874545505675112;-0.2847326523061065
Mol28;1.1696899495854909;1.1801465400311375;49.94315616217136;30.018228864564133;28.65433163262431;-0.0211923376775482;6.653451615549541;-0.0540387878812792;-0.1668007129169902;8.99851929097652;128.02001233077377;-0.4081036843501349
Mol31;-0.2241003410680744;-0.27915065010777984;-28.04354252922481;127.52061342634825;-2.0106622928122952;-0.0039072156062359;-1.252462974168754;-0.0079204945634774;-0.0126791977860071;-0.2027569437670136;-0.2040755384137498;-0.1677841166615422
Mol32;-0.1856747888338579;-0.1917174954764284;-28.17440928524768;127.53318499017935;-2.038771006693107;-0.0040286646250504;-1.292125162764312;-0.0082455539988463;-0.0128833251765123;-0.2025045856641888;-0.2046725324392772;-0.1708118891468818
Mol33;-0.6702652230688637;-0.9915148584322492;-59.86379920078472;127.43352238556055;-6.154018648128904;-0.0040690490220355;-1.2983881199866831;-0.0082981460612519;-0.0131154170677279;-0.2096427832383651;-0.2099946560573104;-0.1828618473241751
Mol35;-1.779425716046127;-1.781853660326821;34.97630628510374;11.728793504263678;10.871127677881807;-0.0218540750366046;17.417582332529477;-0.0580175561742057;-0.164205372860781;2.8762364423453306;127.82141723286462;-0.5257721405073792
Mol36;0.0300618396226006;0.1238952468427356;46.4248308618448;22.222679096821707;10.009184012942214;-0.0214749806730363;128.8975647330265;-0.0561489670447396;-0.1624031973211025;7.036936330414087;127.97464817740236;-0.344701354525243
Mol37;4.838803554750562;5.308115370490562;36.36020216551815;62.135419448605546;18.23404322734232;-0.0042033310753532;68.34361091877122;-0.0082503128035291;-0.0146960498750258;-0.3714134029269689;-0.2745330114262584;-0.2337869281433192
Mol38;41.51649657342489;116.17284466293935;21.546846328146486;16.863912232788653;-50.66282776906727;-0.4498186215970612;-1.6441569553975368;-1.6334082188537005;-1.6726890965610934;-3.030272024186099;127.78229887050773;-0.2201021927916129
Mol39;2.804637110129299;3.2120685302515284;52.77124051706015;26.31637134649185;32.38407493421382;-0.0216353614914355;127.24485562676242;-0.0563817676193629;-0.1640845234908658;7.212693523187461;127.97253576063261;-0.3350450682086864
Mol40;-4.501244523226294;-4.1651269780314415;26.94333774942454;20.98826370924957;8.503172391102623;-0.0183970525422233;129.2921882317952;-0.0528710144649636;-0.1191082476648976;0.9743851873375282;127.59851628597119;-0.3353696099901574
Mol41;23.794429025587355;25.243248589225963;-4.200818553182696;6.6930363848892895;-108.0353018061329;-0.0143313473787065;-1.8870870682354208;-0.0324279435460341;-0.0587492590930566;-2.20739589090808;-1.423090195926536;-1.7616317124696086
